action,total_yield,cash,trades,parameters,global
AAON,,,,,
AAON,,,,,
AAON,,,,,
AAON,,,,,
AAON,,,,,
AAON,,,,,
AADI,,,,,
AADI,,,,,
AADI,,,,,
AADI,,,,,
AADI,,,,,
AADI,,,,,
AAL,"1,0439155124500004",1043.9155124500003,"{'2023-05-02': {'gain': 1.04391551, 'date': datetime.date(2023, 4, 24), 'type': 'end'}}","[{'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.08, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.09, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 5}, {'TP': 0.1, 'note': 0.22, 'before_earning': 3, 'further_day': 5}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.07, 'note': 0.22, 'before_earning': 5, 'further_day': 5}, {'TP': 0.07, 'note': 0.24, 'before_earning': 5, 'further_day': 5}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.08, 'note': 0.22, 'before_earning': 5, 'further_day': 5}, {'TP': 0.08, 'note': 0.24, 'before_earning': 5, 'further_day': 5}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.09, 'note': 0.22, 'before_earning': 5, 'further_day': 5}, {'TP': 0.09, 'note': 0.24, 'before_earning': 5, 'further_day': 5}, {'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 5}, {'TP': 0.1, 'note': 0.22, 'before_earning': 5, 'further_day': 5}, {'TP': 0.1, 'note': 0.24, 'before_earning': 5, 'further_day': 5}, {'TP': 0.07, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.08, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.09, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.2, 'before_earning': 3, 'further_day': 3}, {'TP': 0.1, 'note': 0.22, 'before_earning': 3, 'further_day': 3}, {'TP': 0.07, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.07, 'note': 0.22, 'before_earning': 5, 'further_day': 3}, {'TP': 0.07, 'note': 0.24, 'before_earning': 5, 'further_day': 3}, {'TP': 0.08, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.08, 'note': 0.22, 'before_earning': 5, 'further_day': 3}, {'TP': 0.08, 'note': 0.24, 'before_earning': 5, 'further_day': 3}, {'TP': 0.09, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.09, 'note': 0.22, 'before_earning': 5, 'further_day': 3}, {'TP': 0.09, 'note': 0.24, 'before_earning': 5, 'further_day': 3}, {'TP': 0.1, 'note': 0.2, 'before_earning': 5, 'further_day': 3}, {'TP': 0.1, 'note': 0.22, 'before_earning': 5, 'further_day': 3}, {'TP': 0.1, 'note': 0.24, 'before_earning': 5, 'further_day': 3}]","{'trade': 1, 'duree': 8, 'plus': 1, 'yield': 1.04391551}"
AAL,"1,0157826000500003",1015.7826000500003,"{'2023-07-19': {'gain': 1.04200766, 'date': datetime.date(2023, 7, 17), 'type': 'TP'}, '2023-07-20': {'gain': 0.97483218, 'date': datetime.date(2023, 7, 19), 'type': 'SL'}}",[],"{'trade': 2, 'duree': 3, 'plus': 1, 'yield': 2.01683984}"
AAL,,,,,
AAL,,,,,
